State,County,Population_Diversity_Index,Black_pop_perc
KY,Lyon,16.2852,5.7
MD,Charles,60.0455,43.1
NY,Saratoga,15.7249,1.7
IA,Clay,10.2115,0.6
IA,Humboldt,10.9138,0.7
MO,Henry,10.6186,1.2
MD,Howard,61.4333,18.4
TX,Montgomery,46.7128,4.7
IL,Boone,39.7937,2.6
AK,Haines Borough,35.363,0.5
SD,Pennington,33.9937,1.7
TN,Putnam,19.837,2.3
TX,Kerr,43.5695,2.1
OH,Holmes,3.9476,0.4
MN,Freeborn,22.7049,1.1
KS,Riley,38.0696,6.9
CO,Broomfield,37.5931,1.5
VA,Goochland,37.1117,17.9
IA,Ringgold,7.5919,0.4
KS,Labette,26.9689,4.5
OK,Roger Mills,26.3727,0.6
AL,Montgomery,54.4959,56.3
NM,De Baca,51.4677,0.3
NM,Rio Arriba,43.9907,0.9
TX,Brazos,59.0878,11.3
ND,Golden Valley,9.6534,0.7
AK,Kodiak Island Borough,66.5746,1.3
NE,Seward,8.5413,0.5
GA,Barrow,42.8644,11.6
MA,Franklin,15.5142,1.4
TX,Dallam,53.5203,1.9
GA,Pierce,28.6337,9.3
IN,Hamilton,26.6177,4
TX,San Augustine,47.0432,22.6
OR,Wasco,39.1352,0.6
TX,Coleman,36.1963,2.8
IL,Crawford,15.8066,4.8
WI,Richland,8.9231,0.6
VT,Orange,7.9849,0.6
MN,Grant,7.2121,0.4
MS,Scott,58.712,38.1
CO,Chaffee,25.9286,1.7
MS,Clarke,47.9531,34.4
OK,Garvin,38.6772,2.7
SC,Anderson,36.453,16.5
ID,Lemhi,11.8813,0.4
GA,Glynn,51.2312,26.6
KS,Pawnee,26.2534,4.9
TX,Armstrong,23.1825,1.4
MN,Jackson,12.7857,0.6
MO,Carter,10.4079,0.4
SD,Ziebach,42.7673,0.4
MS,Pontotoc,37.0784,15.2
KS,Washington,9.6468,0.7
OH,Madison,19.2534,6.4
CT,Litchfield,18.1004,1.8
KS,Logan,16.5339,0.9
NC,Edgecombe,52.618,57.7
VA,Gloucester,26.0291,8.5
NC,Wayne,58.6224,32
OH,Portage,17.6332,4.5
IL,Adams,14.0617,3.7
MN,Houston,6.4586,0.6
IA,Adams,5.8873,0.3
VA,Westmoreland,51.55,27.5
KS,Seward,54.2263,4.1
AL,Lawrence,39.6034,11.4
NE,Keith,15.8663,0.5
KY,Marshall,5.6897,0.4
VA,Fluvanna,35.5058,15.5
MT,Ravalli,13.171,0.4
OH,Harrison,9.2884,2.2
TN,Johnson,10.4158,2.3
WA,Clallam,28.9753,1
AR,Logan,16.1109,1.6
NY,St. Lawrence,14.4761,2.5
GA,White,14.4568,2.3
NM,Quay,53.9621,1.7
GA,Webster,53.8615,41.9
NC,Henderson,28.1563,3.3
OK,McIntosh,48.2254,3.2
TX,Loving,34.4414,0
KY,Whitley,7.4198,0.8
WY,Washakie,29.6868,0.8
IN,Howard,24.8465,7.2
MO,Clinton,11.7302,1.6
MO,Sullivan,33.9229,1.4
MO,Dunklin,32.243,10.4
IL,Lawrence,25.927,10
VA,Bristol city,19.3176,5.7
GA,Baldwin,53.9025,41.7
KY,Breckinridge,10.2344,2.2
AL,Elmore,40.8283,21.1
TN,Hawkins,8.7426,1.5
MO,Knox,6.6493,0.5
NV,Lander,44.7005,1
ID,Madison,18.8737,0.6
NY,Genesee,16.9581,3.1
AL,Russell,56.5034,42.3
OR,Jefferson,56.0293,0.8
TN,Marion,14.4153,4
AK,Aleutians West Census Area,76.9346,7.4
TX,Scurry,54.3962,5.2
GA,Wilcox,52.3765,35.7
OH,Clark,27.1108,9
AK,Hoonah-Angoon Census Area,60.6696,0.6
MO,Platte,30.4274,6.4
IL,Mercer,7.3982,0.4
FL,Santa Rosa,30.2848,6.5
FL,Gilchrist,23.1825,5.6
TX,Collin,57.8365,9.4
MT,Mineral,15.7137,0.4
NE,Johnson,32.8323,5.7
ME,York,9.6877,0.7
TX,Rains,24.7261,2.9
PA,Union,27.4271,8
KY,Magoffin,3.9468,0.3
KY,Butler,10.0056,0.6
IA,Worth,8.7137,0.8
AZ,Santa Cruz,29.3747,0.8
IL,Washington,7.2226,0.8
GA,Talbot,51.354,57.3
VA,Orange,34.8652,13
WI,Florence,7.2258,0.4
CA,Inyo,52.3314,0.9
TN,Overton,6.8449,0.6
KY,Powell,6.2677,0.8
NC,Tyrrell,57.6528,36.6
KS,Wilson,13.91,0.5
IA,Monroe,9.097,0.5
KY,Nicholas,7.0237,0.7
WV,Mercer,17.4799,6.3
MO,Adair,14.8385,1.6
WV,Brooke,7.6058,1.4
PA,Pike,31.3703,6.2
VA,Virginia Beach city,54.6513,20
WI,Green,9.8388,0.6
TX,San Saba,47.7309,3.6
KS,Wallace,16.622,0.6
TX,Brewster,53.1015,1.5
CO,Huerfano,49.8412,0.9
ID,Washington,34.0524,0.4
WY,Albany,29.23,2
MT,Fergus,10.6051,0.4
GA,Cobb,60.9575,26.7
MI,Kalamazoo,36.1184,11.2
NY,Nassau,55.1435,12.4
AR,White,20.9204,4.4
TN,Polk,8.168,0.6
IL,Jersey,6.8426,0.6
PA,Columbia,12.0781,2
MO,Barry,22.6629,0.5
KY,Anderson,10.7989,2.1
VA,Henrico,59.1778,30
GA,Lumpkin,17.0891,1.8
WA,Mason,31.6384,1.3
LA,La Salle Parish,29.1793,12.3
VA,Hanover,26.8882,9.6
VA,Madison,26.2304,9.5
MO,Randolph,19.3003,5.8
MN,Blue Earth,18.9117,3.2
AR,Izard,10.9932,1.5
MO,Wright,9.1196,0.6
OH,Mahoning,37.7204,15.9
KY,Rowan,10.2445,1.9
MN,Meeker,9.6229,0.5
NE,Polk,9.6132,0.3
MO,Osage,3.754,0.3
TX,Kent,33.2214,1.2
OK,Ottawa,51.229,1.1
TX,Polk,45.5449,11.4
IN,Daviess,13.277,0.8
MN,Brown,10.3683,0.4
MO,Moniteau,18.9873,3.9
WV,Greenbrier,12.2663,2.8
MO,Camden,10.2263,0.6
OK,Craig,52.6534,3.2
VA,Mecklenburg,51.6253,35.2
WY,Laramie,35.6937,3.6
GA,Lowndes,55.8475,36.8
MT,Deer Lodge,16.9087,0.5
MI,Midland,14.842,1.3
TX,Waller,65.5844,25.8
OR,Coos,25.072,0.5
MI,Crawford,8.555,0.7
ID,Jefferson,22.833,0.4
NY,Yates,8.5454,0.9
ID,Clark,52.4687,0.8
TN,Greene,12.6275,2.2
VA,Fauquier,32.6766,8.2
TX,Mills,32.426,0.9
NC,Cleveland,40.9754,20.7
NC,Gates,49.7768,33.1
LA,Catahoula Parish,46.567,31.8
CA,Alameda,74.0399,12.4
NY,Greene,24.4716,6.3
SC,Marlboro,57.5977,51.2
MN,Waseca,19.6582,2.3
TN,Washington,19.2107,4.3
OH,Seneca,17.4132,2.6
CA,Solano,72.5821,14.9
GA,Long,56.8373,26.1
MA,Berkshire,18.6906,3.1
VA,Lee,13.3087,4
NE,Otoe,17.1069,0.6
ND,Williams,22.9977,1.3
MN,Wadena,9.872,1
FL,Union,44.6389,22.5
CA,San Luis Obispo,46.1168,2.2
MO,Caldwell,9.4845,0.6
OR,Josephine,22.1376,0.5
MO,Wayne,7.9791,0.6
KS,Russell,11.7328,0.9
KS,Decatur,8.7411,0.8
MS,Attala,51.9001,42.2
VA,Charlottesville city,51.2658,19.3
AZ,Navajo,60.5139,1.2
NE,Gosper,12.7579,0.5
MI,Wexford,9.6831,0.5
MD,Garrett,6.0785,1.1
LA,Jackson Parish,45.8114,29.3
KS,Haskell,44.5952,0.8
TN,Hamilton,44.3172,19.9
SD,Clay,20.8574,1.6
IA,Decatur,12.643,1.9
NC,Davidson,32.3943,9.3
AR,Pope,26.4304,3.2
OH,Richland,24.2608,9.2
ND,Pembina,13.1807,0.5
GA,Crawford,40.9886,21.4
OH,Carroll,6.4597,0.6
GA,Laurens,51.6501,36.2
NY,Chenango,9.6768,0.9
GA,Jeff Davis,43.9733,15.5
MO,Franklin,8.7434,1
MS,Tallahatchie,54.594,56.5
FL,Levy,33.9323,9.7
NY,Wayne,17.6206,3.2
KS,Jackson,27.436,0.8
ID,Ada,25.6622,1.3
GA,Toombs,54.5306,25.9
IN,Jasper,15.0144,0.9
UT,Daggett,13.2757,0.4
MO,Harrison,8.1664,0.4
TN,Cheatham,11.8989,1.7
TN,Lawrence,10.7994,1.7
TN,Davidson,58.3618,28.1
NC,Warren,58.1779,51.7
MA,Dukes,20.8044,3.6
WI,Portage,14.8057,0.7
MO,Callaway,17.2754,4.5
MN,Hubbard,12.4418,0.4
OK,Okfuskee,56.0324,7.9
KY,Greenup,7.0389,0.9
MI,Bay,17.4189,1.7
ID,Boise,14.4202,0.4
AL,Calhoun,42.0387,20.9
MO,Texas,16.0525,3.7
NJ,Bergen,58.1402,6.7
ID,Oneida,10.1972,0.3
MT,Carbon,9.8573,0.4
VA,Buchanan,8.5152,2.9
ID,Power,48.4552,1
PA,Schuylkill,14.7659,3.1
WV,Roane,5.3061,0.4
DE,Kent,52.5251,25.1
AL,Pickens,52.0742,40.9
VA,Prince Edward,50.2044,32.8
ND,Grant,8.7292,0.1
GA,Colquitt,58.3928,23.5
KY,Boyd,12.4389,3
CO,Mineral,11.6737,0.3
MS,Wilkinson,42.6977,70
MA,Hampden,50.3566,10.6
MN,Lyon,23.5881,2.4
IN,Montgomery,14.1849,1.1
OH,Knox,8.559,0.9
CO,Costilla,47.6334,1.8
TN,Sumner,25.1719,6.9
