Year,Age,Gender,Race,official_action,Victim_Criminal_Charges_Simplified,Shootings_manner_of_death,armed_simplified,Shootings_signs_of_mental_illness,Shootings_threat_level,Shootings_flee,Shootings_body_camera,Geography,Population,White_Percent,Black_Percent,Hispanic_Percent,Asian_Percent,Other_Percent,Firearm_per_10k,n,Crime_Index_10k,police_frac_total_expend,officers_per_10k_pop,density_p_mi2_2020,density_p_mi2_2017
2015,36,M,H,Unreported,No Charges,shot,FALSE,TRUE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,698.16,0.040001548,9.9,256.3727,253.7996328
2015,36,M,H,Unreported,No Charges,shot,FALSE,TRUE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,698.16,0.040001548,8.9,256.3727,253.7996328
2015,33,M,W,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Rural,4664628,58.5,32.1,5.2,1.8,0.5,249.53,27,NA,0.038502485,NA,107.5175,108.423595
2015,41,M,W,Pending,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Rural,27470056,41.9,11.8,39.4,4.8,0.3,264.06,100,NA,0.035660293,NA,112.8204,108.3504165
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,17.5,256.3727,253.7996328
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,14.3,256.3727,253.7996328
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,11.1,256.3727,253.7996328
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,10.6,256.3727,253.7996328
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,10.1,256.3727,253.7996328
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,9.9,256.3727,253.7996328
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,9.8,256.3727,253.7996328
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,9.7,256.3727,253.7996328
2015,48,M,O,Pending,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,405.72,0.040001548,7.7,256.3727,253.7996328
2015,21,M,B,Justified,No Charges,shot,TRUE,FALSE,attack,Foot,TRUE,Suburban,3909500,65.6,7.2,10.6,2.1,7.3,212.59,32,1046.01,0.03432659,NA,57.6547,57.30540127
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,24.9,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,21.6,256.3727,253.7996328
