Year,State,Suicide_Rate_100k,Population,White_Percent,Black_Percent,Hispanic_Percent,Asian_Percent,Other_Percent,Firearm_Registered,Firearm_per_10k
2019,MD,4.17,6045680,50.70,29.40,10.10,6.40,0.20,128289,212.20
2019,MA,2.06,6892503,71.50,7.00,11.80,6.60,0.10,39886,57.87
2019,MI,7.22,9986857,75.00,13.60,5.10,3.10,0.50,83355,83.46
2019,MN,6.01,5639632,79.90,6.40,5.30,4.90,1.00,98585,174.81
2019,MS,8.97,2976149,56.60,37.90,2.90,0.90,0.40,52346,175.89
2019,MO,10.67,6137428,79.40,11.40,4.20,2.00,0.30,88270,143.82
2019,MT,15.54,1068778,86.30,0.40,3.70,0.70,5.90,23476,219.65
2019,NE,6.08,1934408,79.00,4.50,10.90,2.40,0.70,29753,153.81
2019,NV,11.36,3080156,48.80,8.90,28.80,8.30,0.90,96822,314.34
2019,NH,9.21,1359711,90.30,1.30,3.80,2.70,0.10,59341,436.42
2019,NJ,1.97,8882190,54.80,12.80,20.40,9.80,0.10,90217,101.57
2019,NM,11.68,2096829,37.40,1.80,48.80,1.30,8.80,105836,504.74
2019,NY,2.48,19453561,55.10,14.30,19.20,8.70,0.20,82917,42.62
2019,NC,7.77,10488084,63.00,21.20,9.40,2.90,1.10,181209,172.78
2019,ND,9.90,762062,84.40,3.00,3.50,1.70,5.40,19720,258.77
2019,OH,7.97,11689100,78.90,12.20,3.70,2.20,0.20,175819,150.41
2019,OK,13.18,3956971,65.60,7.20,10.60,2.10,7.30,83112,210.04
2019,OR,10.11,4217737,75.60,1.80,13.10,4.30,0.90,74722,177.16
2019,PA,7.63,12801989,76.40,10.70,7.30,3.50,0.10,271427,212.02
2019,RI,3.31,1059361,72.10,5.40,15.40,3.60,0.30,4655,43.94
2019,SC,10.58,5148714,63.60,26.80,5.70,1.50,0.20,99283,192.83
2019,SD,9.71,884659,82.30,1.90,3.60,1.20,8.60,31134,351.93
2019,TN,10.15,6829174,73.90,16.60,5.40,1.80,0.20,121140,177.39
2019,TX,7.24,28995881,41.90,11.80,39.40,4.80,0.30,725368,250.16
2019,UT,10.13,3205958,78.30,1.20,14.00,2.40,1.00,93440,291.46
2019,VT,11.05,623989,92.80,1.20,1.90,1.80,0.30,7716,123.66
2019,VA,7.98,8535519,61.70,18.80,9.30,6.40,0.20,356963,418.21
2019,WA,7.07,7614893,68.60,3.50,12.70,8.50,1.00,119829,157.36
2019,WV,13.00,1792147,92.00,3.90,1.30,0.80,0.10,41651,232.41
2019,WI,7.87,5822434,81.20,6.30,6.90,2.70,0.80,79639,136.78
2019,WY,14.86,578759,84.00,0.90,10.00,0.80,2.10,134050,2316.16
2020,AL,11.31,4908620,65.50,26.70,4.10,1.30,0.50,168265,342.79
2020,AK,15.23,734002,60.60,2.90,7.00,6.60,14.20,20520,279.56
2020,AZ,10.89,7378490,54.70,4.10,31.40,3.20,3.90,204817,277.59
2020,AR,11.08,3039000,72.30,15.20,7.40,1.60,0.60,108801,358.02
2020,CA,4.06,39937500,37.00,5.50,39.10,14.40,0.40,376666,94.31
2020,CO,11.06,5845530,68.20,3.90,21.50,3.10,0.60,112691,192.78
2020,CT,3.08,3563080,66.70,9.90,16.10,4.50,0.20,74877,210.15
2020,DE,6.83,982895,62.20,21.50,9.30,4.00,0.20,5281,53.73
2020,DC,,720687,36.50,45.30,11.00,4.00,0.20,59832,830.21
2020,FL,8.11,21993000,53.80,15.40,25.60,2.80,0.20,432581,196.69
2020,GA,8.45,10736100,52.60,31.10,9.60,3.90,0.20,225993,210.50
2020,HI,2.59,1412690,21.80,1.60,10.50,37.30,0.10,8665,61.34
2020,ID,12.77,1826160,82.00,0.60,12.40,1.30,1.10,58797,321.97
2020,IL,3.95,12659700,61.20,14.00,17.20,5.40,0.10,147698,116.67
2020,IN,8.91,6745350,79.20,9.20,6.90,2.20,0.10,133594,198.05
2020,IA,7.27,3179850,85.90,3.30,5.90,2.60,0.20,36540,114.91
2020,KS,8.84,2910360,75.90,5.50,11.90,2.90,0.60,54409,186.95
2020,KY,11.16,4499690,84.60,8.00,3.50,1.40,0.20,93719,208.28
2020,LA,9.40,4645180,58.50,32.10,5.20,1.80,0.50,116398,250.58
2020,ME,8.41,1345790,93.40,1.20,1.60,1.10,0.60,17410,129.37
2020,MD,4.17,6083120,50.70,29.40,10.10,6.40,0.20,128289,210.89
2020,MA,2.06,6976600,71.50,7.00,11.80,6.60,0.10,39886,57.17
2020,MI,7.22,10045000,75.00,13.60,5.10,3.10,0.50,83355,82.98
2020,MN,6.01,5700670,79.90,6.40,5.30,4.90,1.00,98585,172.94
2020,MS,8.97,2989260,56.60,37.90,2.90,0.90,0.40,52346,175.11
2020,MO,10.67,6169270,79.40,11.40,4.20,2.00,0.30,88270,143.08
2020,MT,15.54,1086760,86.30,0.40,3.70,0.70,5.90,23476,216.02
2020,NE,6.08,1952570,79.00,4.50,10.90,2.40,0.70,29753,152.38
2020,NV,11.36,3139660,48.80,8.90,28.80,8.30,0.90,96822,308.38
2020,NH,9.21,1371250,90.30,1.30,3.80,2.70,0.10,59341,432.75
2020,NJ,1.97,8936570,54.80,12.80,20.40,9.80,0.10,90217,100.95
2020,NM,11.68,2096640,37.40,1.80,48.80,1.30,8.80,105836,504.79
2020,NY,2.48,19440500,55.10,14.30,19.20,8.70,0.20,82917,42.65
2020,NC,7.77,10611900,63.00,21.20,9.40,2.90,1.10,181209,170.76
2020,ND,9.90,761723,84.40,3.00,3.50,1.70,5.40,19720,258.89
2020,OH,7.97,11747700,78.90,12.20,3.70,2.20,0.20,175819,149.66
2020,OK,13.18,3954820,65.60,7.20,10.60,2.10,7.30,83112,210.15
2020,OR,10.11,4301090,75.60,1.80,13.10,4.30,0.90,74722,173.73
2020,PA,7.63,12820900,76.40,10.70,7.30,3.50,0.10,271427,211.71
2020,RI,3.31,1056160,72.10,5.40,15.40,3.60,0.30,4655,44.07
2020,SC,10.58,5210100,63.60,26.80,5.70,1.50,0.20,99283,190.56
2020,SD,9.71,903027,82.30,1.90,3.60,1.20,8.60,31134,344.77
2020,TN,10.15,6897580,73.90,16.60,5.40,1.80,0.20,121140,175.63
2020,TX,7.24,29472300,41.90,11.80,39.40,4.80,0.30,725368,246.12
2020,UT,10.13,3282120,78.30,1.20,14.00,2.40,1.00,93440,284.69
2020,VT,11.05,628061,92.80,1.20,1.90,1.80,0.30,7716,122.85
2020,VA,7.98,8626210,61.70,18.80,9.30,6.40,0.20,356963,413.81
2020,WA,7.07,7797100,68.60,3.50,12.70,8.50,1.00,119829,153.68
2020,WV,13.00,1778070,92.00,3.90,1.30,0.80,0.10,41651,234.25
2020,WI,7.87,5851750,81.20,6.30,6.90,2.70,0.80,79639,136.09
2020,WY,14.86,567025,84.00,0.90,10.00,0.80,2.10,134050,2364.09
