Year,State,County,Count,officer_10k,crime_10k,pop_diversity,black_pop_perc,urbanization_index,firearm_fatalities_100k,population,pop_density,male_perc,age_20_45_perc,Official_action_taken
2015,GA,Gwinnett,1,NA,NA,70.3,26.3,99.51,419.25,888494,2064.44,48.92,34.91,0
2015,GA,Habersham,1,NA,133.83,35.96,4,41.24,26,43792,158.24,47.3,31.32,0
2015,GA,Hall,1,NA,195.39,53.06,8.1,79.44,123.25,192245,489.45,49.82,32.75,0
2015,GA,Lowndes,1,23.7,141.57,55.85,36.8,72.8,75.75,113342,228.48,48.92,39.5,0
2015,GA,Newton,1,NA,342.99,56.05,42.5,68.76,99.75,104884,385.38,47.5,32.65,0
2015,GA,Paulding,1,NA,330.14,41.13,17.8,79.95,101.75,151649,485.71,48.81,34.3,0
2015,GA,Pickens,1,NA,NA,12.26,1.4,26.9,24.25,30136,129.86,49.15,27.45,0
2015,GA,Putnam,1,NA,NA,49.76,27.2,19.05,14.75,21307,61.82,48.67,26.11,0
2015,GA,Richmond,1,NA,NA,55.69,55.2,90.78,181,201451,621.13,48.56,36.41,0
2015,GA,Walker,1,NA,NA,15.66,4.4,56.15,41.5,68537,153.54,49.46,30.7,0
2015,GA,Wayne,1,NA,NA,44.66,20.5,42.06,21,29430,45.86,50.31,31.77,0
2015,GA,Whitfield,1,NA,NA,52.2,4.3,70.92,45.5,103669,356.91,49.76,33.12,0
2015,GA,Worth,1,NA,NA,45.92,29.1,30.84,14.75,20688,36.25,48.04,29.32,0
2015,HI,Honolulu,1,NA,NA,71.44,3,99.14,113.75,991064,1649.74,50.46,35.6,0
2015,HI,Maui,1,NA,NA,74.08,0.8,85.43,34.5,163904,141.11,49.92,31.16,100
2015,IA,Des Moines,1,NA,83.41,21.21,5.7,73.26,27.25,39874,95.82,48.87,28.36,0
2015,IA,Linn,1,16.3,30.74,21.31,4.3,87.25,96,220271,307.26,49.31,33.28,0
2015,IA,Polk,2,12.3,33.84,35.21,6.5,95.09,197.25,467304,814.4,49.19,35.53,0
2015,IA,Washington,1,NA,NA,14.88,0.9,NA,10.25,22145,38.93,49.42,27.5,0
2015,ID,Ada,1,11.25,39.93,25.66,1.3,94.53,248.25,432862,411.24,50.07,34.56,0
2015,ID,Adams,1,NA,NA,12.05,0.2,0,21,3891,2.85,51.58,20.87,0
2015,ID,Bonner,1,NA,NA,12.07,0.3,27.55,34,41600,23.98,49.95,24.52,0
2015,ID,Canyon,1,12.25,56.14,42.68,0.8,80.13,126.25,206842,352.15,49.45,32.63,0
2015,ID,Jefferson,1,NA,96.3,22.83,0.4,33.39,15.75,27127,24.81,50.59,30.42,0
2015,ID,Madison,1,NA,NA,18.87,0.6,71.54,12.25,37989,80.96,50.3,45.84,0
2015,ID,Owyhee,1,NA,NA,45.67,0.9,22.71,13.75,11288,1.47,51.27,28.51,0
