Year,State,Count,Victim_median_Age,Population,Black_pop_perc,Firearm_10k,pop_density,pop_diversity,official_action_taken,Urbanization_Index,Male_pop_perc,State_median_age,State_median_age20_45_perc,Crime_10k,Pol_frac_total
2018,ME,3,54,1339057,1.2,130.02,43.47,13,0,38.7,49,44.9,30.08462349,359.73,2.6
2018,MI,21,35.5,9984072,13.6,83.49,176.93,42,0,74.6,49,39.8,32.6737815,517.27,3
2018,MN,12,26.5,5606249,6.4,175.85,70.81,35,0,73.3,50,38.1,33.69369379,709.09,3.4
2018,MO,24,35,6121623,11.4,144.19,89.34,35,8.33,70.4,49,38.7,33.255871,1234.26,3.9
2018,MS,10,36,2981020,37.9,175.6,63.65,54,0,49.4,48,37.7,33.26820499,1120.69,2.9
2018,MT,6,36,1060665,0.4,221.33,7.34,25,0,55.9,50,39.9,32.54413241,1089.48,3.5
2018,NC,25,41,10381615,21.2,174.55,214.79,55,0,66.1,48,38.9,33.33616942,721.65,3.9
2018,ND,4,29.5,758080,3,260.13,10.99,28,0,59.9,51,35.2,35.77846524,429.16,2.3
2018,NE,1,54,1925614,4.5,154.51,25.2,36,0,73.1,50,36.6,33.62787772,807.16,2.8
2018,NH,2,39,1353465,1.3,438.44,151.57,18,0,60.3,50,43,31.61928442,300.82,3.8
2018,NJ,12,36.5,8886025,12.8,101.53,1219.89,63,8.33,94.7,49,40,33.03584062,734.88,3.8
2018,NM,20,32,2092741,1.8,505.73,17.25,61,0,77.4,49,38.1,33.02333538,955.78,3.2
2018,NV,22,36,3027341,8.9,319.83,27.95,66,0,94.2,50,38.1,34.97437771,539.43,5.8
2018,NY,15,43,19530351,14.3,42.46,416.86,63,0,87.9,48,39,34.87193911,802.16,3.7
2018,OH,32,31.5,11676341,12.2,150.58,286.41,36,0,77.9,49,39.4,32.68819835,609.03,3.5
2018,OK,33,38,3940235,7.2,210.93,57.48,55,0,66.2,49,36.7,34.06352594,759.26,3.5
2018,OR,17,42,4181886,1.8,178.68,43.98,41,0,81,49,39.4,35.12706711,663.36,3
2018,PA,23,33,12800922,10.7,212.04,286.37,40,0,78.7,49,40.8,32.424988,630.6,3.1
2018,RI,1,28,1058287,5.4,43.99,1023.11,45,0,90.7,48,40.1,33.7503416,614.12,4.1
2018,SC,12,38,5084156,26.8,195.28,170.23,52,0,66.3,48,39.6,32.63833748,1289.54,3
2018,SD,3,31.5,878698,1.9,354.32,11.69,31,0,56.7,50,37.1,32.42980457,448.72,2.9
2018,TN,26,34,6771631,16.6,178.89,165.07,42,0,66.4,48,38.8,33.83781917,945.86,4.1
2018,TX,85,34,28628666,11.8,253.37,110.59,65,0,84.7,49,34.8,36.31006141,642.53,3.6
2018,UT,18,30.5,3153550,1.2,296.3,38.85,37,0,90.6,50,31,37.73487771,916.63,2.9
2018,VA,18,33.5,8501286,18.8,419.89,216.46,57,0,75.5,48,38.4,34.18295921,658.05,3.4
2018,VT,2,37,624358,1.2,123.58,67.9,14,0,38.9,49,42.8,31.53469299,453.32,3
2018,WA,22,36.5,7523869,3.5,159.27,114.38,50,0,84.1,50,37.7,35.79539964,948.91,2.9
